#code,NPTGCode,lines,lon,lat,name
NHR,9400ZZLUNHA1,M,-0.36222357325819,51.58479184672980,North Harrow
NWM,9400ZZLUNWY1,B,-0.30415573538263,51.56249028557540,North Wembley
NFD,9400ZZLUNFD1,P,-0.31415683266497,51.49927648219350,Northfields
NHT,9400ZZLUNHT1,C,-0.36845983428266,51.54815043900270,Northolt
NWP,9400ZZLUNKP1,M,-0.31820635687621,51.57859284148750,Northwick Park
NWD,9400ZZLUNOW1,M,-0.42386079385157,51.61115922890370,Northwood
NWH,9400ZZLUNWH1,M,-0.40929863067416,51.60049457650000,Northwood Hills
NHG,9400ZZLUNHG1,DCH,-0.19653768540776,51.50906353364370,Notting Hill Gate
NPDEPOT,xxx,V,-0.053819,51.599924,Northumberland Park Depot
OAK,9400ZZLUOAK1,P,-0.13184172130094,51.64758364919410,Oakwood
OLD,9400ZZLUODS1,N,-0.08754973143646,51.52560132336980,Old Street
OST,9400ZZLUOSY1,P,-0.35199440464561,51.48092880458870,Osterley
OVL,9400ZZLUOVL1,N,-0.11289340879807,51.48210545233800,Oval
OXC,9400ZZLUOXC1,CBV,-0.14176898366897,51.51512379903700,Oxford Circus
PAD,9400ZZLUPAC1,HDB,-0.17539000601032,51.51531041579340,Paddington
PRY,9400ZZLUPKR1,P,-0.28422801590485,51.52690137924540,Park Royal
PGR,9400ZZLUPSG1,D,-0.20123465658312,51.47509533047470,Parsons Green
PER,9400ZZLUPVL1,C,-0.32385203849235,51.53659408992660,Perivale
PIC,9400ZZLUPCC1,BP,-0.13400636555842,51.51002699527070,Piccadilly Circus
PIM,9400ZZLUPCO1,V,-0.13374866528779,51.48919376011050,Pimlico
PIN,9400ZZLUPNR1,M,-0.38091980415035,51.59285763009080,Pinner
PLW,9400ZZLUPLW1,DH,0.01780469869649,51.53121839248360,Plaistow
PUT,9400ZZLUPYB1,D,-0.20897667848792,51.46790222227180,Putney Bridge
QPK,9400ZZLUQPS1,B,-0.20470409023420,51.53410090344690,Queen's Park
